ATK,Aquireable,CP39,CP40,CrossGen,DEF,EvolutionStage,Evolved,FamilyID,FutureEvolve,Generation,Hatchable,ImgName,Legendary,Name,Nest,New,NotGettable,PokedexNumber,Raidable,Regional,Row,STA,STATTOTAL,Shiny,Spawns,Type1,Type2,Weather1,Weather2,_id
117,1,1070,1085,0,108,2,0,6,0,1,0,17,0,Pidgeotto,0,0,0,17,0,0,17,126,351,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f4cf
166,1,1966,1994,0,157,3,0,6,0,1,0,18,0,Pidgeot,0,0,0,18,0,0,18,166,489,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f4d0
103,1,580,588,0,70,1,0,7,0,1,0,19,0,Rattata,1,0,0,19,0,0,19,60,233,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f4d1
161,1,1527,1549,0,144,2,0,7,0,1,0,20,0,Raticate,0,0,0,20,0,0,20,110,415,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f4d2
112,1,664,673,0,61,1,0,8,0,1,0,21,0,Spearow,1,0,0,21,0,0,21,80,253,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f4d3
182,1,1788,1814,0,135,2,1,8,0,1,0,22,0,Fearow,0,0,0,22,0,0,22,130,447,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f4d4
110,1,767,778,0,102,1,0,9,0,1,0,23,0,Ekans,1,0,0,23,0,0,23,70,282,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f4d5
167,1,1712,1737,0,158,2,1,9,0,1,0,24,0,Arbok,0,0,0,24,0,0,24,120,445,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f4d6
112,1,776,787,0,101,1,0,10,0,1,0,25,0,Pikachu,1,0,0,25,0,0,25,70,283,1,1,electric,,Rainy,,60f83d8adb25e1905e06f4d7
193,1,1996,2025,0,165,2,1,10,0,1,0,26,0,Raichu,0,0,0,26,0,0,26,120,478,1,1,electric,,Rainy,,60f83d8adb25e1905e06f4d8
126,1,1177,1194,0,145,1,0,11,0,1,0,27,0,Sandshrew,1,0,0,27,0,0,27,100,371,0,1,ground,,Sunny/clear,,60f83d8adb25e1905e06f4d9
182,1,2294,2328,0,202,2,1,11,0,1,0,28,0,Sandslash,0,0,0,28,0,0,28,150,534,0,1,ground,,Sunny/clear,,60f83d8adb25e1905e06f4da
86,1,725,736,0,94,1,0,12,0,1,0,29,0,Nidoran F,0,0,0,29,0,0,29,110,290,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f4db
117,1,1201,1218,0,126,2,0,12,0,1,0,30,0,Nidorina,0,0,0,30,0,0,30,140,383,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f4dc
180,1,2304,2338,0,174,3,1,12,0,1,0,31,0,Nidoqueen,0,0,0,31,0,0,31,180,534,0,1,poison,ground,Cloudy,Sunny/clear,60f83d8adb25e1905e06f4dd
105,1,729,739,0,76,1,0,13,0,1,0,32,0,Nidoran M,0,0,0,32,0,0,32,92,273,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f4de
137,1,1234,1252,0,112,2,0,13,0,1,0,33,0,Nidorino,0,0,0,33,0,0,33,122,371,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f4df
204,1,2352,2386,0,157,3,1,13,0,1,0,34,0,Nidoking,0,0,0,34,0,0,34,162,523,0,1,poison,ground,Cloudy,Sunny/clear,60f83d8adb25e1905e06f4e0
107,1,1070,1085,0,116,1,0,14,0,1,0,35,0,Clefairy,1,0,0,35,0,0,35,140,363,0,1,fairy,,Cloudy,,60f83d8adb25e1905e06f4e1
178,1,2320,2353,0,171,2,1,14,0,1,0,36,0,Clefable,0,0,0,36,0,0,36,190,539,0,1,fairy,,Cloudy,,60f83d8adb25e1905e06f4e2
96,1,763,774,0,122,1,0,15,0,1,0,37,0,Vulpix,1,0,0,37,0,0,37,76,294,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f4e3
169,1,2127,2157,0,204,2,1,15,0,1,0,38,0,Ninetales,0,0,0,38,0,0,38,146,519,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f4e4
80,1,703,713,0,44,1,0,16,0,1,0,39,0,Jigglypuff,1,0,0,39,0,0,39,230,354,0,1,normal,fairy,Partly cloudy,Cloudy,60f83d8adb25e1905e06f4e5
156,1,1879,1906,0,93,2,1,16,0,1,0,40,0,Wigglytuff,0,0,0,40,0,0,40,280,529,0,1,normal,fairy,Partly cloudy,Cloudy,60f83d8adb25e1905e06f4e6
83,1,560,569,0,76,1,0,17,0,1,0,41,0,Zubat,1,0,0,41,0,0,41,80,239,0,1,poison,flying,Cloudy,Windy,60f83d8adb25e1905e06f4e7
161,1,1804,1830,0,153,2,0,17,0,1,0,42,0,Golbat,0,0,0,42,0,0,42,150,464,0,1,poison,flying,Cloudy,Windy,60f83d8adb25e1905e06f4e8
131,1,1054,1069,0,116,1,0,18,0,1,2,43,0,Oddish,1,0,0,43,0,0,43,90,337,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f4e9
153,1,1491,1512,0,139,2,0,18,0,1,0,44,0,Gloom,0,0,0,44,0,0,44,120,412,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f4ea
202,1,2334,2367,0,170,3,1,18,0,1,0,45,0,Vileplume,0,0,0,45,0,0,45,150,522,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f4eb
121,1,824,836,0,99,1,0,19,0,1,0,46,0,Paras,1,0,0,46,0,0,46,70,290,0,1,bug,grass,Rainy,Sunny/clear,60f83d8adb25e1905e06f4ec
165,1,1633,1657,0,146,2,1,19,0,1,0,47,0,Parasect,0,0,0,47,0,0,47,120,431,0,1,bug,grass,Rainy,Sunny/clear,60f83d8adb25e1905e06f4ed
100,1,889,902,0,102,1,0,20,0,1,0,48,0,Venonat,1,0,0,48,0,0,48,120,322,0,1,bug,poison,Rainy,Cloudy,60f83d8adb25e1905e06f4ee
179,1,1910,1937,0,150,2,1,20,0,1,0,49,0,Venomoth,0,0,0,49,0,0,49,140,469,0,1,bug,poison,Rainy,Cloudy,60f83d8adb25e1905e06f4ef
109,1,458,465,0,88,1,0,21,0,1,0,50,0,Diglett,1,0,0,50,0,0,50,20,217,0,1,ground,,Sunny/clear,,60f83d8adb25e1905e06f4f0
167,1,1314,1333,0,147,2,1,21,0,1,0,51,0,Dugtrio,0,0,0,51,0,0,51,70,384,0,1,ground,,Sunny/clear,,60f83d8adb25e1905e06f4f1
92,1,629,638,0,81,1,0,23,0,1,0,52,0,Meowth,1,0,0,52,0,0,52,80,253,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f4f2
150,1,1517,1539,0,139,2,1,23,0,1,0,53,0,Persian,0,0,0,53,0,0,53,130,419,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f4f3
122,1,952,966,0,96,1,0,24,0,1,0,54,0,Psyduck,1,0,0,54,0,0,54,100,318,0,1,water,,Rainy,,60f83d8adb25e1905e06f4f4
191,1,2238,2270,0,163,2,1,24,0,1,0,55,0,Golduck,0,0,0,55,0,0,55,160,514,0,1,water,,Rainy,,60f83d8adb25e1905e06f4f5
148,1,987,1002,0,87,1,0,25,0,1,0,56,0,Mankey,1,0,0,56,0,0,56,80,315,0,1,fighting,,Cloudy,,60f83d8adb25e1905e06f4f6
207,1,2075,2105,0,144,2,1,25,0,1,0,57,0,Primeape,0,0,0,57,0,0,57,130,481,0,1,fighting,,Cloudy,,60f83d8adb25e1905e06f4f7
136,1,1095,1110,0,96,1,0,26,0,1,5,58,0,Growlithe,1,0,0,58,0,0,58,110,342,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f4f8
227,1,2799,2839,0,166,2,1,26,0,1,0,59,0,Arcanine,0,0,0,59,0,0,59,180,573,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f4f9
101,1,685,695,0,82,1,0,27,0,1,0,60,0,Poliwag,1,0,0,60,0,0,60,80,263,0,1,water,,Rainy,,60f83d8adb25e1905e06f4fa
130,1,1294,1313,0,130,2,0,27,0,1,0,61,0,Poliwhirl,0,0,0,61,0,0,61,130,390,0,1,water,,Rainy,,60f83d8adb25e1905e06f4fb
182,1,2407,2441,0,187,3,1,27,0,1,0,62,0,Poliwrath,0,0,0,62,0,0,62,180,549,0,1,water,fighting,Rainy,Cloudy,60f83d8adb25e1905e06f4fc
195,1,1132,1148,0,103,1,0,28,0,1,2,63,0,Abra,1,0,0,63,0,0,63,50,348,0,1,psychic,,Windy,,60f83d8adb25e1905e06f4fd
232,1,1833,1859,0,138,2,0,28,0,1,0,64,0,Kadabra,0,0,0,64,0,0,64,80,450,0,1,psychic,,Windy,,60f83d8adb25e1905e06f4fe
271,1,2845,2887,0,194,3,1,28,0,1,0,65,0,Alakazam,0,0,0,65,0,0,65,110,575,0,1,psychic,,Windy,,60f83d8adb25e1905e06f4ff
137,1,1182,1199,0,88,1,0,29,0,1,2,66,0,Machop,1,0,0,66,0,0,66,140,365,0,1,fighting,,Cloudy,,60f83d8adb25e1905e06f500
177,1,1882,1910,0,130,2,0,29,0,1,0,67,0,Machoke,0,0,0,67,0,0,67,160,467,0,1,fighting,,Cloudy,,60f83d8adb25e1905e06f501
234,1,2848,2889,0,162,3,1,29,0,1,0,68,0,Machamp,0,0,0,68,3,0,68,180,576,0,1,fighting,,Cloudy,,60f83d8adb25e1905e06f502
139,1,903,916,0,64,1,0,30,0,1,0,69,0,Bellsprout,1,0,0,69,0,0,69,100,303,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f503
172,1,1453,1475,0,95,2,0,30,0,1,0,70,0,Weepinbell,0,0,0,70,0,0,70,130,397,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f504
207,1,2236,2268,0,138,3,1,30,0,1,0,71,0,Victreebel,0,0,0,71,0,0,71,160,505,0,1,grass,poison,Sunny/clear,Cloudy,60f83d8adb25e1905e06f505
97,1,943,956,0,182,1,0,31,0,1,0,72,0,Tentacool,1,0,0,72,0,0,72,80,359,0,1,water,poison,Rainy,Cloudy,60f83d8adb25e1905e06f506
166,1,2340,2374,0,237,2,1,31,0,1,0,73,0,Tentacruel,0,0,0,73,0,0,73,160,563,0,1,water,poison,Rainy,Cloudy,60f83d8adb25e1905e06f507
132,1,1176,1193,0,163,1,0,32,0,1,0,74,0,Geodude,1,0,0,74,0,0,74,80,375,0,1,rock,ground,Partly cloudy,Sunny/clear,60f83d8adb25e1905e06f508
164,1,1789,1815,0,196,2,0,32,0,1,0,75,0,Graveler,0,0,0,75,0,0,75,110,470,0,1,rock,ground,Partly cloudy,Sunny/clear,60f83d8adb25e1905e06f509
211,1,2875,2916,0,229,3,1,32,0,1,0,76,0,Golem,0,0,0,76,4,0,76,160,600,0,1,rock,ground,Partly cloudy,Sunny/clear,60f83d8adb25e1905e06f50a
170,1,1480,1502,0,132,1,0,33,0,1,5,77,0,Ponyta,1,0,0,77,0,0,77,100,402,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f50b
207,1,2220,2252,0,167,2,1,33,0,1,0,78,0,Rapidash,0,0,0,78,0,0,78,130,504,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f50c
109,1,1187,1204,0,109,1,0,34,0,1,2,79,0,Slowpoke,1,0,0,79,0,0,79,180,398,0,1,water,psychic,Rainy,Windy,60f83d8adb25e1905e06f50d
177,1,2446,2482,0,194,2,1,34,0,1,0,80,0,Slowbro,0,0,0,80,0,0,80,190,561,0,1,water,psychic,Rainy,Windy,60f83d8adb25e1905e06f50e
165,1,1068,1083,0,128,1,0,35,1,1,0,81,0,Magnemite,1,0,0,81,0,0,81,50,343,0,1,electric,steel,Rainy,Snow,60f83d8adb25e1905e06f50f
223,1,2205,2237,0,182,2,1,35,1,1,0,82,0,Magneton,0,0,0,82,0,0,82,100,505,0,1,electric,steel,Rainy,Snow,60f83d8adb25e1905e06f510
124,1,1076,1092,0,118,1,0,36,0,1,0,83,0,Farfetchd,0,0,0,83,0,1,83,104,346,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f511
158,1,996,1011,0,88,1,0,37,0,1,0,84,0,Doduo,1,0,0,84,0,0,84,70,316,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f512
218,1,2108,2138,0,145,2,1,37,0,1,0,85,0,Dodrio,0,0,0,85,0,0,85,120,483,0,1,normal,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f513
85,1,886,899,0,128,1,0,38,0,1,5,86,0,Seel,1,0,0,86,0,0,86,130,343,0,1,water,,Rainy,,60f83d8adb25e1905e06f514
139,1,1867,1894,0,184,2,1,38,0,1,0,87,0,Dewgong,0,0,0,87,0,0,87,180,503,0,1,water,ice,Rainy,Snow,60f83d8adb25e1905e06f515
135,1,1251,1269,0,90,1,0,39,0,1,5,88,0,Grimer,0,0,0,88,0,0,88,160,385,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f516
190,1,2670,2709,0,184,2,1,39,0,1,0,89,0,Muk,0,0,0,89,0,0,89,210,584,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f517
116,1,944,958,0,168,1,0,40,0,1,5,90,0,Shellder,1,0,0,90,0,0,90,60,344,0,1,water,,Rainy,,60f83d8adb25e1905e06f518
186,1,2439,2475,0,323,2,1,40,0,1,0,91,0,Cloyster,0,0,0,91,0,0,91,100,609,0,1,water,ice,Rainy,Snow,60f83d8adb25e1905e06f519
186,1,988,1002,0,70,1,0,41,0,1,2,92,0,Gastly,1,0,0,92,0,0,92,60,316,0,1,ghost,poison,Fog,Cloudy,60f83d8adb25e1905e06f51a
223,1,1692,1716,0,112,2,0,41,0,1,0,93,0,Haunter,0,0,0,93,0,0,93,90,425,0,1,ghost,poison,Fog,Cloudy,60f83d8adb25e1905e06f51b
261,1,2581,2619,0,156,3,1,41,0,1,0,94,0,Gengar,0,0,0,94,3,0,94,120,537,0,1,ghost,poison,Fog,Cloudy,60f83d8adb25e1905e06f51c
85,1,988,1002,0,288,1,0,42,0,1,5,95,0,Onix,1,0,0,95,0,0,95,70,443,0,1,rock,ground,Partly cloudy,Sunny/clear,60f83d8adb25e1905e06f51d
89,1,978,992,0,158,1,0,43,0,1,0,96,0,Drowzee,1,0,0,96,0,0,96,120,367,0,1,psychic,,Windy,,60f83d8adb25e1905e06f51e
144,1,2019,2048,0,215,2,1,43,0,1,0,97,0,Hypno,0,0,0,97,0,0,97,170,529,0,1,psychic,,Windy,,60f83d8adb25e1905e06f51f
181,1,1366,1386,0,156,1,0,44,0,1,0,98,0,Krabby,1,0,0,98,0,0,98,60,397,0,1,water,,Rainy,,60f83d8adb25e1905e06f520
240,1,2656,2694,0,214,2,1,44,0,1,0,99,0,Kingler,0,0,0,99,0,0,99,110,564,0,1,water,,Rainy,,60f83d8adb25e1905e06f521
109,1,845,857,0,114,1,0,45,0,1,0,100,0,Voltorb,1,0,0,100,0,0,100,80,303,0,1,electric,,Rainy,,60f83d8adb25e1905e06f522
173,1,1873,1900,0,179,2,1,45,0,1,0,101,0,Electrode,0,0,0,101,0,0,101,120,472,0,1,electric,,Rainy,,60f83d8adb25e1905e06f523
107,1,1086,1102,0,140,1,0,46,0,1,2,102,0,Exeggcute,1,0,0,102,0,0,102,120,367,0,1,grass,psychic,Sunny/clear,Windy,60f83d8adb25e1905e06f524
233,1,2875,2916,0,158,2,1,46,0,1,0,103,0,Exeggutor,0,0,0,103,2,0,103,190,581,0,1,grass,psychic,Sunny/clear,Windy,60f83d8adb25e1905e06f525
90,1,930,943,0,165,1,0,47,0,1,0,104,0,Cubone,1,0,0,104,0,0,104,100,355,0,1,ground,,Sunny/clear,,60f83d8adb25e1905e06f526
144,1,1667,1691,0,200,2,1,47,0,1,0,105,0,Marowak,0,0,0,105,0,0,105,120,464,0,1,ground,,Sunny/clear,,60f83d8adb25e1905e06f527
224,1,2372,2406,0,211,1,1,48,0,1,0,106,0,Hitmonlee,0,0,0,106,0,0,106,100,535,0,1,fighting,,Cloudy,,60f83d8adb25e1905e06f528
193,1,2069,2098,0,212,1,1,48,0,1,0,107,0,Hitmonchan,0,0,0,107,0,0,107,100,505,0,1,fighting,,Cloudy,,60f83d8adb25e1905e06f529
108,1,1303,1322,1,137,1,1,49,1,1,5,108,0,Lickitung,0,0,0,108,0,0,108,180,425,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f52a
119,1,1075,1091,0,164,1,0,50,0,1,5,109,0,Koffing,0,0,0,109,0,0,109,80,363,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f52b
174,1,2152,2183,0,221,2,1,50,0,1,0,110,0,Weezing,0,0,0,110,0,0,110,130,525,0,1,poison,,Cloudy,,60f83d8adb25e1905e06f52c
140,1,1655,1679,0,157,1,0,51,1,1,5,111,0,Rhyhorn,1,0,0,111,0,0,111,160,457,0,1,ground,rock,Sunny/clear,Partly cloudy,60f83d8adb25e1905e06f52d
222,1,3253,3300,0,206,2,1,51,1,1,0,112,0,Rhydon,0,0,0,112,0,0,112,210,638,0,1,ground,rock,Sunny/clear,Partly cloudy,60f83d8adb25e1905e06f52e
60,1,1448,1469,1,176,1,0,52,0,1,10,113,0,Chansey,0,0,0,113,0,0,113,500,736,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f52f
183,1,2177,2208,0,205,1,1,53,1,1,5,114,0,Tangela,0,0,0,114,0,0,114,130,518,0,1,grass,,Sunny/clear,,60f83d8adb25e1905e06f530
181,1,2428,2463,0,165,1,1,54,0,1,0,115,0,Kangaskhan,0,0,0,115,0,1,115,210,556,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f531
129,1,908,921,1,125,1,0,55,0,1,0,116,0,Horsea,1,0,0,116,0,0,116,60,314,0,1,water,,Rainy,,60f83d8adb25e1905e06f532
187,1,1951,1979,1,182,2,0,55,0,1,0,117,0,Seadra,0,0,0,117,0,0,117,110,479,0,1,water,,Rainy,,60f83d8adb25e1905e06f533
123,1,992,1006,0,115,1,0,56,0,1,0,118,0,Goldeen,1,0,0,118,0,0,118,90,328,0,1,water,,Rainy,,60f83d8adb25e1905e06f534
175,1,2011,2040,0,154,2,1,56,0,1,0,119,0,Seaking,0,0,0,119,0,0,119,160,489,0,1,water,,Rainy,,60f83d8adb25e1905e06f535
137,1,913,926,0,112,1,0,57,0,1,0,120,0,Staryu,1,0,0,120,0,0,120,60,309,0,1,water,,Rainy,,60f83d8adb25e1905e06f536
210,1,2270,2303,0,184,2,1,57,0,1,0,121,0,Starmie,0,0,0,121,0,0,121,120,514,0,1,water,psychic,Rainy,Windy,60f83d8adb25e1905e06f537
192,1,1956,1984,0,233,1,1,58,0,1,0,122,0,Mr Mime,0,0,0,122,0,1,122,80,505,0,1,psychic,fairy,Windy,Cloudy,60f83d8adb25e1905e06f538
218,1,2429,2464,0,170,1,0,59,0,1,5,123,0,Scyther,1,0,0,123,0,0,123,140,528,0,1,bug,flying,Rainy,Windy,60f83d8adb25e1905e06f539
223,1,2476,2512,0,182,1,1,60,0,1,0,124,0,Jynx,1,0,0,124,3,0,124,130,535,0,1,ice,psychic,Snow,Windy,60f83d8adb25e1905e06f53a
198,1,2165,2196,1,173,1,1,61,1,1,0,125,0,Electabuzz,1,0,0,125,2,0,125,130,501,0,1,electric,,Rainy,,60f83d8adb25e1905e06f53b
206,1,2222,2254,1,169,1,1,62,1,1,0,126,0,Magmar,1,0,0,126,0,0,126,130,505,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f53c
238,1,2730,2770,0,197,1,1,63,0,1,5,127,0,Pinsir,1,0,0,127,0,0,127,130,565,0,1,bug,,Rainy,,60f83d8adb25e1905e06f53d
198,1,2452,2488,0,197,1,1,64,0,1,0,128,0,Tauros,0,0,0,128,0,1,128,150,545,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f53e
29,1,217,220,0,102,1,0,65,0,1,0,129,0,Magikarp,1,0,0,129,1,0,129,40,171,1,1,water,,Rainy,,60f83d8adb25e1905e06f53f
237,1,3234,3281,0,197,2,1,65,0,1,0,130,0,Gyarados,0,0,0,130,0,0,130,190,624,1,1,water,flying,Rainy,Windy,60f83d8adb25e1905e06f540
165,1,2566,2603,0,180,1,0,66,0,1,10,131,0,Lapras,0,0,0,131,0,0,131,260,605,0,1,water,ice,Rainy,Snow,60f83d8adb25e1905e06f541
91,1,707,718,0,91,1,0,67,0,1,0,132,0,Ditto,0,0,0,132,0,0,132,96,278,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f542
104,1,955,969,1,121,1,0,68,1,1,5,133,0,Eevee,1,0,0,133,0,0,133,110,335,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f543
205,1,3112,3157,0,177,2,1,68,0,1,0,134,0,Vaporeon,0,0,0,134,0,0,134,260,642,0,1,water,,Rainy,,60f83d8adb25e1905e06f544
232,1,2691,2730,0,201,2,1,68,0,1,0,135,0,Jolteon,0,0,0,135,3,0,135,130,563,0,1,electric,,Rainy,,60f83d8adb25e1905e06f545
246,1,2863,2904,0,204,2,1,68,0,1,0,136,0,Flareon,0,0,0,136,0,0,136,130,580,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f546
153,1,1545,1567,0,139,1,0,69,1,1,10,137,0,Porygon,0,0,0,137,0,0,137,130,422,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f547
155,1,1326,1345,0,174,1,0,70,0,1,5,138,0,Omanyte,1,0,0,138,0,0,138,70,399,0,1,rock,water,Partly cloudy,Rainy,60f83d8adb25e1905e06f548
207,1,2647,2685,0,227,2,1,70,0,1,0,139,0,Omastar,0,0,0,139,0,0,139,140,574,0,1,rock,water,Partly cloudy,Rainy,60f83d8adb25e1905e06f549
148,1,1156,1172,0,162,1,0,71,0,1,5,140,0,Kabuto,1,0,0,140,0,0,140,60,370,0,1,rock,water,Partly cloudy,Rainy,60f83d8adb25e1905e06f54a
220,1,2481,2517,0,203,2,1,71,0,1,0,141,0,Kabutops,0,0,0,141,0,0,141,120,543,0,1,rock,water,Partly cloudy,Rainy,60f83d8adb25e1905e06f54b
221,1,2571,2608,0,164,1,0,72,0,1,10,142,0,Aerodactyl,0,0,0,142,0,0,142,160,545,0,1,rock,flying,Partly cloudy,Windy,60f83d8adb25e1905e06f54c
190,1,3307,3355,0,190,1,0,73,0,1,10,143,0,Snorlax,0,0,0,143,0,0,143,320,700,0,1,normal,,Partly cloudy,,60f83d8adb25e1905e06f54d
192,1,2891,2933,0,249,1,0,74,0,1,0,144,1,Articuno,0,0,1,144,0,0,144,180,621,0,0,ice,flying,Snow,Windy,60f83d8adb25e1905e06f54e
253,1,3282,3330,0,188,1,0,75,0,1,0,145,1,Zapdos,0,0,1,145,0,0,145,180,621,0,0,electric,flying,Rainy,Windy,60f83d8adb25e1905e06f54f
251,1,3225,3272,0,184,1,0,76,0,1,0,146,1,Moltres,0,0,1,146,0,0,146,180,615,0,0,fire,flying,Sunny/clear,Windy,60f83d8adb25e1905e06f550
119,1,848,860,0,94,1,0,77,0,1,10,147,0,Dratini,0,0,0,147,0,0,147,82,295,0,1,dragon,,Windy,,60f83d8adb25e1905e06f551
163,1,1586,1609,0,138,2,1,77,0,1,0,148,0,Dragonair,0,0,0,148,0,0,148,122,423,0,1,dragon,,Windy,,60f83d8adb25e1905e06f552
263,1,3530,3581,0,201,3,1,77,0,1,0,149,0,Dragonite,0,0,0,149,0,0,149,182,646,0,1,dragon,flying,Windy,,60f83d8adb25e1905e06f553
300,1,3925,3982,0,182,1,0,78,0,1,0,150,1,Mewtwo,0,0,0,150,0,0,150,193,675,0,0,psychic,,Windy,,60f83d8adb25e1905e06f554
210,0,3046,3090,0,210,1,1,79,0,1,0,151,2,Mew,0,0,0,151,0,0,151,200,620,0,0,psychic,,Windy,,60f83d8adb25e1905e06f555
92,1,790,801,0,122,1,0,80,0,2,5,152,0,Chikorita,1,0,0,152,0,0,152,90,304,0,1,grass,,Sunny/clear,,60f83d8adb25e1905e06f556
122,1,1277,1296,0,155,2,0,80,0,2,0,153,0,Bayleef,0,0,0,153,0,0,153,120,397,0,1,grass,,Sunny/clear,,60f83d8adb25e1905e06f557
168,1,2195,2227,0,202,3,1,80,0,2,0,154,0,Meganium,0,0,0,154,0,0,154,160,530,0,1,grass,,Sunny/clear,,60f83d8adb25e1905e06f558
116,1,819,831,0,96,1,0,81,0,2,5,155,0,Cyndaquil,1,0,0,155,0,0,155,78,290,0,1,fire,,Sunny/clear,,60f83d8adb25e1905e06f559
